台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,,一~五,,一~六,一,,一~五,一~五,一~五,,,
,,,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,,,,,,,六~日,,,日,,
"             車次

站名",B,D,F,B,D,F,D,B,D,E,,
,120,630,822,124,636,826,1640,128,642,1538,,
,,,,,,,,,,,,
左營,10:55,11:00,11:25,11:55,12:00,12:25,12:35,12:55,13:00,,,
,,,,,,,,,,,,
台南,↓,11:13,11:41,↓,12:13,12:41,12:48,↓,13:13,,,
,,,,,,,,,,,,
嘉義,↓,11:32,12:00,↓,12:32,13:00,13:08,↓,13:32,,,
,,,,,,,,,,,,
雲林,↓,↓,12:12,↓,↓,13:12,↓,↓,↓,,,
,,,,,,,,,,,,
彰化,↓,↓,12:24,↓,↓,13:24,↓,↓,↓,,,
,,,,,,,,,,,,
台中,11:39,12:00,12:36,12:39,13:00,13:36,13:32,13:39,14:00,14:04,,
,,,,,,,,,,,,
苗栗,↓,↓,12:56,↓,↓,13:56,↓,↓,↓,14:24,,
,,,,,,,,,,,,
新竹,↓,12:25,13:08,↓,13:25,14:08,13:57,↓,14:25,14:39,,
,,,,,,,,,,,,
桃園,↓,12:38,13:20,↓,13:38,14:20,14:11,↓,14:38,14:51,,
,,,,,,,,,,,,
板橋,12:21,12:51,13:32,13:21,13:51,14:32,14:25,14:21,14:51,15:05,,
,,,,,,,,,,,,
台北,12:32,13:02,13:42,13:32,14:02,14:42,14:36,14:32,15:02,15:16,,
,,,,,,,,,,,,
南港,12:40,13:10,13:50,13:40,14:10,14:50,14:45,14:40,15:10,15:25,,
,=,=,=,=,=,=,=,=,=,=,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.4,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,,六~日,,,日,日,,五~日,,,,
"             車次

站名",F,D,B,D,E,B',F,D,B,D,,
,830,1646,132,648,1542,1234,834,1652,136,654,,
,,,,,,,,,,,,
左營,13:25,13:35,13:55,14:00,,14:15,14:25,14:35,14:55,15:00,,
,,,,,,,,,,,,
台南,13:41,13:48,↓,14:13,,14:28,14:41,14:48,↓,15:13,,
,,,,,,,,,,,,
嘉義,14:00,14:08,↓,14:32,,↓,15:00,15:08,↓,15:32,,
,,,,,,,,,,,,
雲林,14:12,↓,↓,↓,,↓,15:12,↓,↓,↓,,
,,,,,,,,,,,,
彰化,14:24,↓,↓,↓,,↓,15:24,↓,↓,↓,,
,,,,,,,,,,,,
台中,14:36,14:32,14:39,15:00,15:04,15:08,15:36,15:32,15:39,16:00,,
,,,,,,,,,,,,
苗栗,14:56,↓,↓,↓,15:24,↓,15:56,↓,↓,↓,,
,,,,,,,,,,,,
新竹,15:08,14:57,↓,15:25,15:39,↓,16:08,15:57,↓,16:25,,
,,,,,,,,,,,,
桃園,15:20,15:11,↓,15:38,15:51,↓,16:20,16:11,↓,16:38,,
,,,,,,,,,,,,
板橋,15:32,15:25,15:21,15:51,16:05,15:47,16:32,16:25,16:21,16:51,,
,,,,,,,,,,,,
台北,15:42,15:36,15:32,16:02,16:16,15:57,16:42,16:36,16:32,17:02,,
,,,,,,,,,,,,
南港,15:50,15:45,15:40,16:10,16:25,16:05,16:50,16:45,16:40,17:10,,
,=,=,=,=,=,=,=,=,=,=,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.5,,
,,,,,,,,,,,,
,,,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,五、日,五、日,,五~日,日,,,五、日,,,,
"             車次

站名",E,B',F,D,C,B,D,E,B',F,,
,1546,1238,838,1658,1320,140,660,1550,242,842,,
,,,,,,,,,,,,
左營,,15:15,15:25,15:35,15:45,15:55,16:00,,16:15,16:25,,
,,,,,,,,,,,,
台南,,15:28,15:41,15:48,15:58,↓,16:13,,16:28,16:41,,
,,,,,,,,,,,,
嘉義,,↓,16:00,16:08,16:19,↓,16:32,,↓,17:00,,
,,,,,,,,,,,,
雲林,,↓,16:12,↓,16:31,↓,↓,,↓,17:12,,
,,,,,,,,,,,,
彰化,,↓,16:24,↓,16:41,↓,↓,,↓,17:24,,
,,,,,,,,,,,,
台中,16:04,16:08,16:36,16:32,16:53,16:39,17:00,17:04,17:08,17:36,,
,,,,,,,,,,,,
苗栗,16:24,↓,16:56,↓,↓,↓,↓,17:24,↓,17:56,,
,,,,,,,,,,,,
新竹,16:39,↓,17:08,16:57,↓,↓,17:25,17:39,↓,18:08,,
,,,,,,,,,,,,
桃園,16:51,↓,17:20,17:11,↓,↓,17:38,17:51,↓,18:20,,
,,,,,,,,,,,,
板橋,17:05,16:47,17:32,17:25,17:36,17:21,17:51,18:05,17:47,18:32,,
,,,,,,,,,,,,
台北,17:16,16:57,17:42,17:36,17:47,17:32,18:02,18:16,17:57,18:42,,
,,,,,,,,,,,,
南港,17:25,17:05,17:50,17:45,17:55,17:40,18:10,18:25,18:05,18:50,,
,=,=,=,=,=,=,=,=,=,=,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.6,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,,,,日,五、日,,,,,日,,
"             車次

站名",D,B,D,E,B',F,D,B,D,E,,
,664,144,666,1554,1246,846,670,148,672,1558,,
,,,,,,,,,,,,
左營,16:35,16:55,17:00,,17:15,17:25,17:35,17:55,18:00,,,
,,,,,,,,,,,,
台南,16:48,↓,17:13,,17:28,17:41,17:48,↓,18:13,,,
,,,,,,,,,,,,
嘉義,17:08,↓,17:32,,↓,18:00,18:08,↓,18:32,,,
,,,,,,,,,,,,
雲林,↓,↓,↓,,↓,18:12,↓,↓,↓,,,
,,,,,,,,,,,,
彰化,↓,↓,↓,,↓,18:24,↓,↓,↓,,,
,,,,,,,,,,,,
台中,17:32,17:39,18:00,18:04,18:08,18:36,18:32,18:39,19:00,19:04,,
,,,,,,,,,,,,
苗栗,↓,↓,↓,18:24,↓,18:56,↓,↓,↓,19:24,,
,,,,,,,,,,,,
新竹,17:57,↓,18:25,18:39,↓,19:08,18:57,↓,19:25,19:39,,
,,,,,,,,,,,,
桃園,18:11,↓,18:38,18:51,↓,19:20,19:11,↓,19:38,19:51,,
,,,,,,,,,,,,
板橋,18:25,18:21,18:51,19:05,18:47,19:32,19:25,19:21,19:51,20:05,,
,,,,,,,,,,,,
台北,18:36,18:32,19:02,19:16,18:57,19:42,19:36,19:32,20:02,20:16,,
,,,,,,,,,,,,
南港,18:45,18:40,19:10,19:25,19:05,19:50,19:45,19:40,20:10,20:25,,
,=,=,=,=,=,=,=,=,=,=,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.7,,
,,,,,,,,,,,,
,,,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,五、日,,,,,日,五、日,,五~日,,,
"             車次

站名",B',F,D,B,D,E,B',F,D,B,,
,1250,850,676,152,678,1562,1254,854,1682,156,,
,,,,,,,,,,,,
左營,18:15,18:25,18:35,18:55,19:00,,19:15,19:25,19:35,19:55,,
,,,,,,,,,,,,
台南,18:28,18:41,18:48,↓,19:13,,19:28,19:41,19:48,↓,,
,,,,,,,,,,,,
嘉義,↓,19:00,19:08,↓,19:32,,↓,20:00,20:08,↓,,
,,,,,,,,,,,,
雲林,↓,19:12,↓,↓,↓,,↓,20:12,↓,↓,,
,,,,,,,,,,,,
彰化,↓,19:24,↓,↓,↓,,↓,20:24,↓,↓,,
,,,,,,,,,,,,
台中,19:08,19:36,19:32,19:39,20:00,20:04,20:08,20:36,20:32,20:39,,
,,,,,,,,,,,,
苗栗,↓,19:56,↓,↓,↓,20:24,↓,20:56,↓,↓,,
,,,,,,,,,,,,
新竹,↓,20:08,19:57,↓,20:25,20:39,↓,21:08,20:57,↓,,
,,,,,,,,,,,,
桃園,↓,20:20,20:11,↓,20:38,20:51,↓,21:20,21:11,↓,,
,,,,,,,,,,,,
板橋,19:47,20:32,20:25,20:21,20:51,21:05,20:47,21:32,21:25,21:21,,
,,,,,,,,,,,,
台北,19:57,20:42,20:36,20:32,21:02,21:16,20:57,21:42,21:36,21:32,,
,,,,,,,,,,,,
南港,20:05,20:50,20:45,20:40,21:10,21:25,21:05,21:50,21:45,21:40,,
,=,=,=,=,=,=,=,=,=,=,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.8,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,,日,日,,五~日,日,,日,,,,
"             車次

站名",D,E,B',F,D,C,B,E,D,F,,
,684,1566,1258,858,1688,1330,160,1570,690,862,,
,,,,,,,,,,,,
左營,20:00,,20:15,20:25,20:35,20:45,20:55,,21:05,21:30,,
,,,,,,,,,,,,
台南,20:13,,20:28,20:41,20:48,20:58,↓,,21:18,21:44,,
,,,,,,,,,,,,
嘉義,20:32,,↓,21:00,21:08,21:19,↓,,21:37,22:03,,
,,,,,,,,,,,,
雲林,↓,,↓,21:12,↓,21:31,↓,,↓,22:16,,
,,,,,,,,,,,,
彰化,↓,,↓,21:24,↓,21:42,↓,,↓,22:28,,
,,,,,,,,,,,,
台中,21:00,21:04,21:08,21:36,21:32,21:54,21:39,21:51,22:05,22:40,,
,,,,,,,,,,,,
苗栗,↓,21:24,↓,21:56,↓,↓,↓,22:10,↓,23:00,,
,,,,,,,,,,,,
新竹,21:25,21:39,↓,22:08,21:57,↓,↓,22:23,22:30,23:12,,
,,,,,,,,,,,,
桃園,21:38,21:51,↓,22:20,22:11,↓,↓,22:36,22:43,23:25,,
,,,,,,,,,,,,
板橋,21:51,22:05,21:47,22:32,22:25,22:36,22:21,22:49,22:56,23:37,,
,,,,,,,,,,,,
台北,22:02,22:16,21:57,22:42,22:36,22:47,22:32,23:01,23:07,23:47,,
,,,,,,,,,,,,
南港,22:10,22:25,22:05,22:50,22:45,22:55,22:40,23:10,23:15,23:55,,
,=,=,=,=,=,=,=,=,=,=,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.9,,
,,,,,,,,,,,,
,,,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
北上(Northbound),,,,,,,,,,,,
,,,,,,,,,,,,
行駛日,五、日,,,,,,,,,,,
"             車次

站名",B',D,B',E',,,,,,,,
,1264,696,294,598,,,,,,,,
,,,,,,,,,,,,
左營,21:40,21:55,22:10,22:55,,,,,,,,
,,,,,,,,,,,,
台南,21:53,22:11,22:23,23:08,,,,,,,,
,,,,,,,,,,,,
嘉義,↓,22:32,↓,23:27,,,,,,,,
,,,,,,,,,,,,
雲林,↓,↓,↓,23:39,,,,,,,,
,,,,,,,,,,,,
彰化,↓,↓,↓,23:49,,,,,,,,
,,,,,,,,,,,,
台中,22:30,22:59,23:03,23:59,,,,,,,,
,,,,=,,,,,,,,
苗栗,↓,↓,↓,,,,,,,,,
,,,,,,,,,,,,
新竹,↓,23:27,↓,,,,,,,,,
,,,,,,,,,,,,
桃園,↓,23:40,↓,,,,,,,,,
,,,,,,,,,,,,
板橋,23:11,23:52,23:42,,,,,,,,,
,,,,,,,,,,,,
台北,23:21,23:59,23:52,,,,,,,,,
,,=,,,,,,,,,,
南港,23:30,,23:59,,,,,,,,,
,=,,=,,,,,,,,,
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,,,
,,,,,,,,,,P.10,,
